seriesInstanceUID,pixelSpacing,sliceThickness
1.2.840.113619.2.327.3.50990949.252.1557875858.395,0.545455\0.596847,420.545427
1.2.840.113619.2.327.3.50990949.252.1557875858.398,0.777344\0.777344,5
1.2.840.113619.2.327.3.50990949.252.1557875858.398.3,0.777344\0.777344,5
1.2.840.113619.2.327.3.50990949.252.1557875858.398.4,0.777344\0.777344,1.25
1.2.840.113619.2.327.3.50990949.252.1557875858.398.5,0.777344\0.777344,0.625
1.2.840.113619.2.327.3.50990949.252.1557875858.475,undefined,undefined
1.2.840.113619.2.327.3.50990949.260.1540161545.996,0.545455\0.596847,420.545427
1.2.840.113619.2.327.3.50990949.260.1540161545.999,0.703125\0.703125,5
1.2.840.113619.2.327.3.50990949.260.1540161545.999.3,0.703125\0.703125,5
1.2.840.113619.2.327.3.50990949.260.1540161545.999.4,0.703125\0.703125,1.25
1.2.840.113619.2.327.3.50990949.260.1540161546.70,undefined,undefined
1.2.840.113619.2.416.108659442712262950066400682818432041362,0.667969\0.667969,2.5
1.2.840.113619.2.416.108989551333758803094021502777438993981,0.636364\0.646341,410
1.2.840.113619.2.416.120536698623022308364066841122510906078,0.667969\0.667969,2.5
1.2.840.113619.2.416.12306458312056597463566504544475474838,0.7373046875\0.7373046875,5
1.2.840.113619.2.416.12310007299194882635180271609536244596,0.667969\0.667969,2.5
1.2.840.113619.2.416.135513694332468973673744872634976193,0.703125\0.703125,5
1.2.840.113619.2.416.163045913605347415179322742788074198756,0.636364\0.646341,410
1.2.840.113619.2.416.174538463631639951089013483772558877894,0.667969\0.667969,4.999999922
1.2.840.113619.2.416.179815434486704780948939100584077432610,undefined,undefined
1.2.840.113619.2.416.185672529007973468239270490648099079346,0.703125\0.703125,0.625
1.2.840.113619.2.416.18936711671757314547916103224946957561,0.667969\0.667969,5
1.2.840.113619.2.416.193944899325120253694101839430961482090,0.667969\0.667969,1.25
1.2.840.113619.2.416.208547969240847576059162541350270527704,0.667969\0.667969,2.5
1.2.840.113619.2.416.21048910887843260571137948607180787558,0.667969\0.667969,2.5
1.2.840.113619.2.416.222892894049040307660440314928244373911,0.703125\0.703125,5
1.2.840.113619.2.416.247041776443787508798255302129598965309,undefined,undefined
1.2.840.113619.2.416.279755531128330819368098060801590982856,0.703125\0.703125,5
1.2.840.113619.2.416.282489068930914485039271098740432076420,0.636364\0.646341,410
1.2.840.113619.2.416.284286170797759441774739603669945474392,0.667969\0.667969,2.5
1.2.840.113619.2.416.289092078773962284178762718501589431551,0.667969\0.667969,5
1.2.840.113619.2.416.290060387824044997349681001257591325679,0.703125\0.703125,1.25
1.2.840.113619.2.416.300647019436466413206206056506251830462,0.667969\0.667969,5
1.2.840.113619.2.416.30318161878636358359713354228214414308,0.7373046875\0.7373046875,4.999999922
1.2.840.113619.2.416.317363818772858636409155755003806020380,0.703125\0.703125,1.25
1.2.840.113619.2.416.327830018661187131039169170944412293953,undefined,undefined
1.2.840.113619.2.416.35227086421425639071565977141844608104,0.703125\0.703125,4.999999922
1.2.840.113619.2.416.35548681728510935866904450868894084077,0.703125\0.703125,0.625
1.2.840.113619.2.416.81398053531960545695849266224495021810,0.703125\0.703125,5
1.2.840.113619.2.416.93543456163772082642514910079677191433,0.667969\0.667969,2.5
1.2.840.113619.2.416.93581208155274404570929019145281359993,0.667969\0.667969,2.5
1.2.840.113619.2.416.97031587626386607629112702694135952581,0.703125\0.703125,5
1.2.840.113619.2.55.3.386549861.406.1557790432.278,0.545455\0.596847,440.181824
1.2.840.113619.2.55.3.386549861.406.1557790432.280,0.824219\0.824219,5
1.2.840.113619.2.55.3.386549861.406.1557790432.280.3,0.824219\0.824219,5
1.2.840.113619.2.55.3.386549861.406.1557790432.280.4,0.824219\0.824219,0.625
1.2.840.113619.2.80.2803643708.5856.1540173200.1.4.1,0.703125\0.703125,5
1.2.840.113619.2.80.2803643708.5856.1540173213.60.4.1,0.703125\0.703125,5
1.2.840.113619.2.80.2803643708.7205.1557904532.1.4.1,0.7773439884\0.7773439884,5
