serid,type,time
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Preprocess-Cpp,40.88368
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Preprocess-Python,18.05292
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-PrepareLoader,0.00006
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-GeneratePatches,5.74022
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-SplitPatches,0.00011
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Preprocess-Cpp,82.72296
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Preprocess-Python,15.61822
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-PrepareLoader,0.00005
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-GeneratePatches,12.57544
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-SplitPatches,0.01542
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-2ModelPredict,53.32153
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-2ModelGetPbb,0.71822
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Concat,0.00008
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Dbscan,8.57256
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Relocate,0.00150
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-AirwayModel,1.20344
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-2ModelPredict,62.32199
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-2ModelGetPbb,0.90286
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Concat,0.00009
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-fpAreaCheck,0.00283
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-NoduleSegmentation,61.84980
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-DensityClassification,1.38661
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-MaliClassification,6.11501
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissurePreproc,1.03602
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Dbscan,25.23575
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Relocate,0.00161
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-AirwayModel,0.44957
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-SlidingWindow,18.03231
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-PatchPrediction,5.39004
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-MergeResult,0.04827
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation,30.41582
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Preprocess-Cpp,83.72389
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-PostProcessingAndDetection,18.97683
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-PositionPrediction,0.00029
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungSeg-LungSegPrediction-StageOne,0.13558
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungSeg-LungSegPrediction,0.77979
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Preprocess-Python,45.74516
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-PrepareLoader,0.00006
