serid,type,time
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Preprocess-Cpp,41.46581
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Preprocess-Python,17.45970
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-PrepareLoader,0.00005
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-GeneratePatches,5.95566
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-SplitPatches,0.00011
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Preprocess-Cpp,78.14608
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Preprocess-Python,14.97839
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-PrepareLoader,0.00006
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-GeneratePatches,12.09970
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-SplitPatches,0.00216
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-2ModelPredict,55.70710
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-2ModelGetPbb,0.73604
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Concat,0.00014
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Dbscan,15.38306
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Relocate,0.00277
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Preprocess-Cpp,23.43653
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-AirwayModel,1.43356
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00041
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00055
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Preprocess-Python,21.75330
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-PrepareLoader,0.00008
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00052
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-2ModelPredict,71.95124
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-2ModelGetPbb,1.20119
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Concat,0.00015
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,1.00167
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-GeneratePatches,8.22374
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-SplitPatches,0.00016
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00050
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00041
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00046
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00041
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Preprocess-Cpp,89.48941
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Preprocess-Cpp,96.99804
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,1.00168
