行标签,求和项:time
Detection-2ModelGetPbb,877.29653
Detection-2ModelPredict,79505.13914
Detection-Concat,0.25381
Detection-Dbscan,6924.16144
Detection-GeneratePatches,2240.18086
Detection-PrepareLoader,0.15945
Detection-Relocate,2.67982
Detection-SplitPatches,0.39717
LungLeaf-FissurePreproc,596.13722
LungLeaf-FissureSegmentation,596.13722
LungLeaf-FissureSegmentation-MergeResult,108.48446
LungLeaf-FissureSegmentation-PatchPrediction,13559.99503
LungLeaf-FissureSegmentation-SlidingWindow,5681.05161
LungLeaf-PostProcessingAndDetection,9896.471
LungSeg-LungSegPrediction,45.00727
LungSeg-StageOneLungSegPrediction,94.33626
PostProcess-AirwayModel,333.84889
PostProcess-DensityClassification,2112.71347
PostProcess-FpAreaCheck,603.12572
PostProcess-MaliClassification,4102.8861
PostProcess-NoduleSegmentation,16498.71938
Preprocess-Cpp,26316.91439
Preprocess-Python,10241.9532
(空白),
总计,180338.0494
